Mois,Qualité,Territoire,Attribut,Valeur
01/01/2012,Données définitives,France,Production totale,57177
01/01/2012,Données définitives,France,Production nucléaire,42811
01/01/2012,Données définitives,France,Production thermique totale,5399
01/01/2012,Données définitives,France,Production thermique charbon,741
01/01/2012,Données définitives,France,Production thermique fioul,691
01/01/2012,Données définitives,France,Production thermique gaz,3967
01/01/2012,Données définitives,France,Production hydraulique,6741
01/01/2012,Données définitives,France,Production éolien,1587
01/01/2012,Données définitives,France,Production solaire,125
01/01/2012,Données définitives,France,Production bioénergies,514
01/01/2012,Données définitives,France,Consommation totale,51086
01/01/2012,Données définitives,France,Solde exportateur,5371
01/01/2012,Données définitives,France,Echanges export,7043
01/01/2012,Données définitives,France,Echanges import,1672
01/01/2012,Données définitives,France,Echanges avec le Royaume-Uni,929
01/01/2012,Données définitives,France,Echanges avec l'Espagne,724
01/01/2012,Données définitives,France,Echanges avec l'Italie,1581
01/01/2012,Données définitives,France,Echanges avec la Suisse,2195
01/01/2012,Données définitives,France,Echanges avec l'Allemagne et la Belgique,-59
01/02/2012,Données définitives,France,Production totale,54419
01/02/2012,Données définitives,France,Production nucléaire,38661
01/02/2012,Données définitives,France,Production thermique totale,8721
01/02/2012,Données définitives,France,Production thermique charbon,2511
01/02/2012,Données définitives,France,Production thermique fioul,1309
01/02/2012,Données définitives,France,Production thermique gaz,4901
01/02/2012,Données définitives,France,Production hydraulique,5244
01/02/2012,Données définitives,France,Production éolien,1123
01/02/2012,Données définitives,France,Production solaire,216
01/02/2012,Données définitives,France,Production bioénergies,454
01/02/2012,Données définitives,France,Consommation totale,54476
01/02/2012,Données définitives,France,Solde exportateur,-715
01/02/2012,Données définitives,France,Echanges export,4504
01/02/2012,Données définitives,France,Echanges import,5220
01/02/2012,Données définitives,France,Echanges avec le Royaume-Uni,-798
01/02/2012,Données définitives,France,Echanges avec l'Espagne,-309
01/02/2012,Données définitives,France,Echanges avec l'Italie,1244
01/02/2012,Données définitives,France,Echanges avec la Suisse,1579
01/02/2012,Données définitives,France,Echanges avec l'Allemagne et la Belgique,-2430
01/03/2012,Données définitives,France,Production totale,48583
01/03/2012,Données définitives,France,Production nucléaire,37549
01/03/2012,Données définitives,France,Production thermique totale,5276
01/03/2012,Données définitives,France,Production thermique charbon,1435
01/03/2012,Données définitives,France,Production thermique fioul,666
01/03/2012,Données définitives,France,Production thermique gaz,3175
01/03/2012,Données définitives,France,Production hydraulique,3894
01/03/2012,Données définitives,France,Production éolien,977
01/03/2012,Données définitives,France,Production solaire,356
01/03/2012,Données définitives,France,Production bioénergies,531
01/03/2012,Données définitives,France,Consommation totale,43156
01/03/2012,Données définitives,France,Solde exportateur,4888
01/03/2012,Données définitives,France,Echanges export,7042
01/03/2012,Données définitives,France,Echanges import,2153
01/03/2012,Données définitives,France,Echanges avec le Royaume-Uni,583
01/03/2012,Données définitives,France,Echanges avec l'Espagne,330
01/03/2012,Données définitives,France,Echanges avec l'Italie,1742
01/03/2012,Données définitives,France,Echanges avec la Suisse,2235
01/03/2012,Données définitives,France,Echanges avec l'Allemagne et la Belgique,-1
01/04/2012,Données définitives,France,Production totale,44192
01/04/2012,Données définitives,France,Production nucléaire,33100
01/04/2012,Données définitives,France,Production thermique totale,3484
01/04/2012,Données définitives,France,Production thermique charbon,1655
01/04/2012,Données définitives,France,Production thermique fioul,486
01/04/2012,Données définitives,France,Production thermique gaz,1343
01/04/2012,Données définitives,France,Production hydraulique,5302
01/04/2012,Données définitives,France,Production éolien,1572
01/04/2012,Données définitives,France,Production solaire,329
01/04/2012,Données définitives,France,Production bioénergies,405
01/04/2012,Données définitives,France,Consommation totale,40176
01/04/2012,Données définitives,France,Solde exportateur,3447
01/04/2012,Données définitives,France,Echanges export,5762
01/04/2012,Données définitives,France,Echanges import,2314
01/04/2012,Données définitives,France,Echanges avec le Royaume-Uni,547
01/04/2012,Données définitives,France,Echanges avec l'Espagne,-9
01/04/2012,Données définitives,France,Echanges avec l'Italie,1271
01/04/2012,Données définitives,France,Echanges avec la Suisse,1670
01/04/2012,Données définitives,France,Echanges avec l'Allemagne et la Belgique,-31
01/05/2012,Données définitives,France,Production totale,40433
01/05/2012,Données définitives,France,Production nucléaire,29058
01/05/2012,Données définitives,France,Production thermique totale,1772
01/05/2012,Données définitives,France,Production thermique charbon,854
01/05/2012,Données définitives,France,Production thermique fioul,368
01/05/2012,Données définitives,France,Production thermique gaz,549
01/05/2012,Données définitives,France,Production hydraulique,7706
01/05/2012,Données définitives,France,Production éolien,974
01/05/2012,Données définitives,France,Production solaire,454
01/05/2012,Données définitives,France,Production bioénergies,469
01/05/2012,Données définitives,France,Consommation totale,35257
01/05/2012,Données définitives,France,Solde exportateur,4425
01/05/2012,Données définitives,France,Echanges export,6391
01/05/2012,Données définitives,France,Echanges import,1965
01/05/2012,Données définitives,France,Echanges avec le Royaume-Uni,693
01/05/2012,Données définitives,France,Echanges avec l'Espagne,251
01/05/2012,Données définitives,France,Echanges avec l'Italie,1341
01/05/2012,Données définitives,France,Echanges avec la Suisse,1060
01/05/2012,Données définitives,France,Echanges avec l'Allemagne et la Belgique,1079
01/06/2012,Données définitives,France,Production totale,37518
01/06/2012,Données définitives,France,Production nucléaire,26562
01/06/2012,Données définitives,France,Production thermique totale,2219
01/06/2012,Données définitives,France,Production thermique charbon,960
01/06/2012,Données définitives,France,Production thermique fioul,384
01/06/2012,Données définitives,France,Production thermique gaz,875
01/06/2012,Données définitives,France,Production hydraulique,6823
01/06/2012,Données définitives,France,Production éolien,994
01/06/2012,Données définitives,France,Production solaire,483
01/06/2012,Données définitives,France,Production bioénergies,437
01/06/2012,Données définitives,France,Consommation totale,33219
01/06/2012,Données définitives,France,Solde exportateur,3648
01/06/2012,Données définitives,France,Echanges export,5674
01/06/2012,Données définitives,France,Echanges import,2026
01/06/2012,Données définitives,France,Echanges avec le Royaume-Uni,447
01/06/2012,Données définitives,France,Echanges avec l'Espagne,482
01/06/2012,Données définitives,France,Echanges avec l'Italie,1207
01/06/2012,Données définitives,France,Echanges avec la Suisse,599
01/06/2012,Données définitives,France,Echanges avec l'Allemagne et la Belgique,913
01/07/2012,Données définitives,France,Production totale,37910
01/07/2012,Données définitives,France,Production nucléaire,28818
01/07/2012,Données définitives,France,Production thermique totale,2221
01/07/2012,Données définitives,France,Production thermique charbon,1110
01/07/2012,Données définitives,France,Production thermique fioul,437
01/07/2012,Données définitives,France,Production thermique gaz,674
01/07/2012,Données définitives,France,Production hydraulique,4901
01/07/2012,Données définitives,France,Production éolien,912
01/07/2012,Données définitives,France,Production solaire,544
01/07/2012,Données définitives,France,Production bioénergies,513
01/07/2012,Données définitives,France,Consommation totale,34141
01/07/2012,Données définitives,France,Solde exportateur,3216
01/07/2012,Données définitives,France,Echanges export,5327
01/07/2012,Données définitives,France,Echanges import,2110
01/07/2012,Données définitives,France,Echanges avec le Royaume-Uni,822
01/07/2012,Données définitives,France,Echanges avec l'Espagne,494
01/07/2012,Données définitives,France,Echanges avec l'Italie,825
01/07/2012,Données définitives,France,Echanges avec la Suisse,787
01/07/2012,Données définitives,France,Echanges avec l'Allemagne et la Belgique,287
01/08/2012,Données définitives,France,Production totale,36339
01/08/2012,Données définitives,France,Production nucléaire,28314
01/08/2012,Données définitives,France,Production thermique totale,2533
01/08/2012,Données définitives,France,Production thermique charbon,1165
01/08/2012,Données définitives,France,Production thermique fioul,413
